
Algorithm: I1A1U2

Metric: Euclidean

CLUSTER-0{size: 15 , centroid: 2759}

CLUSTER-1{size: 13 , centroid: 3293}

CLUSTER-2{size: 5 , centroid: 1519}

CLUSTER-3{size: 16 , centroid: 4996}

CLUSTER-4{size: 43 , centroid: 3946}

CLUSTER-5{size: 10 , centroid: 4834}

CLUSTER-6{size: 1 , centroid: 803}

CLUSTER-7{size: 9 , centroid: 4014}

CLUSTER-8{size: 57 , centroid: 559}

CLUSTER-9{size: 1 , centroid: 880}

CLUSTER-10{size: 13 , centroid: 539}

CLUSTER-11{size: 5 , centroid: 42}

CLUSTER-12{size: 37 , centroid: 3572}

CLUSTER-13{size: 0 , centroid: 21}

CLUSTER-14{size: 21 , centroid: 1238}

CLUSTER-15{size: 25 , centroid: 3707}

CLUSTER-16{size: 19 , centroid: 2150}

CLUSTER-17{size: 13 , centroid: 506}

CLUSTER-18{size: 6 , centroid: 228}

CLUSTER-19{size: 2 , centroid: 4347}

CLUSTER-20{size: 2 , centroid: 211}

CLUSTER-21{size: 22 , centroid: 1128}

CLUSTER-22{size: 89 , centroid: 325}

CLUSTER-23{size: 9 , centroid: 1394}

CLUSTER-24{size: 6 , centroid: 4326}

CLUSTER-25{size: 11 , centroid: 389}

CLUSTER-26{size: 28 , centroid: 1315}

CLUSTER-27{size: 18 , centroid: 1819}

CLUSTER-28{size: 0 , centroid: 3239}

CLUSTER-29{size: 7 , centroid: 4060}

CLUSTER-30{size: 4 , centroid: 3736}

CLUSTER-31{size: 4 , centroid: 2564}

CLUSTER-32{size: 19 , centroid: 4760}

CLUSTER-33{size: 20 , centroid: 693}

CLUSTER-34{size: 2 , centroid: 1641}

CLUSTER-35{size: 50 , centroid: 245}

CLUSTER-36{size: 30 , centroid: 976}

CLUSTER-37{size: 60 , centroid: 1917}

CLUSTER-38{size: 0 , centroid: 328}

CLUSTER-39{size: 0 , centroid: 1652}

CLUSTER-40{size: 37 , centroid: 766}

CLUSTER-41{size: 1455 , centroid: 4878}

CLUSTER-42{size: 26 , centroid: 504}

CLUSTER-43{size: 6 , centroid: 3558}

CLUSTER-44{size: 2 , centroid: 3049}

CLUSTER-45{size: 5 , centroid: 1235}

CLUSTER-46{size: 24 , centroid: 1585}

CLUSTER-47{size: 2 , centroid: 4448}

CLUSTER-48{size: 0 , centroid: 1907}

CLUSTER-49{size: 9 , centroid: 1532}

CLUSTER-50{size: 2 , centroid: 4956}

CLUSTER-51{size: 9 , centroid: 89}

CLUSTER-52{size: 18 , centroid: 1938}

CLUSTER-53{size: 7 , centroid: 4213}

CLUSTER-54{size: 2 , centroid: 1210}

CLUSTER-55{size: 5 , centroid: 283}

CLUSTER-56{size: 7 , centroid: 335}

CLUSTER-57{size: 14 , centroid: 1307}

CLUSTER-58{size: 61 , centroid: 1599}

CLUSTER-59{size: 7 , centroid: 603}

CLUSTER-60{size: 9 , centroid: 663}

CLUSTER-61{size: 26 , centroid: 4659}

CLUSTER-62{size: 28 , centroid: 3624}

CLUSTER-63{size: 25 , centroid: 2801}

CLUSTER-64{size: 8 , centroid: 2342}

CLUSTER-65{size: 15 , centroid: 4139}

CLUSTER-66{size: 0 , centroid: 725}

CLUSTER-67{size: 4 , centroid: 179}

CLUSTER-68{size: 6 , centroid: 4013}

CLUSTER-69{size: 13 , centroid: 4547}

CLUSTER-70{size: 17 , centroid: 94}

CLUSTER-71{size: 8 , centroid: 4204}

CLUSTER-72{size: 4 , centroid: 1088}

CLUSTER-73{size: 27 , centroid: 477}

CLUSTER-74{size: 3 , centroid: 2168}

CLUSTER-75{size: 17 , centroid: 3966}

CLUSTER-76{size: 12 , centroid: 4155}

CLUSTER-77{size: 5 , centroid: 3341}

CLUSTER-78{size: 16 , centroid: 1132}

CLUSTER-79{size: 15 , centroid: 4911}

CLUSTER-80{size: 2 , centroid: 4708}

CLUSTER-81{size: 3 , centroid: 3095}

CLUSTER-82{size: 0 , centroid: 2733}

CLUSTER-83{size: 2 , centroid: 2825}

CLUSTER-84{size: 18 , centroid: 710}

CLUSTER-85{size: 6 , centroid: 101}

CLUSTER-86{size: 96 , centroid: 293}

CLUSTER-87{size: 13 , centroid: 3482}

CLUSTER-88{size: 17 , centroid: 4822}

CLUSTER-89{size: 29 , centroid: 4651}

CLUSTER-90{size: 44 , centroid: 4845}

CLUSTER-91{size: 0 , centroid: 528}

CLUSTER-92{size: 6 , centroid: 447}

CLUSTER-93{size: 178 , centroid: 2276}

CLUSTER-94{size: 15 , centroid: 443}

CLUSTER-95{size: 5 , centroid: 1430}

CLUSTER-96{size: 11 , centroid: 1794}

CLUSTER-97{size: 22 , centroid: 2875}

